id,name,label,rating,num_reviews,description,location,combined_features
1,Uluwatu Temple,Hindu temple,4.6,33325,"Perched on a cliff, this ancient Hindu temple features ocean views & hosts traditional dance shows.","Pecatu, South Kuta, Badung Regency, Bali","Hindu temple 4.6 Pecatu, South Kuta, Badung Regency, Bali Perched on a cliff, this ancient Hindu temple features ocean views & hosts traditional dance shows."
2,Pura Tirta Empul,Hindu temple,4.6,19813,Hindu Balinese temple with a bathing area containing holy spring water for ritual purification.,"Tampaksiring, Gianyar Regency, Bali 80552","Hindu temple 4.6 Tampaksiring, Gianyar Regency, Bali 80552 Hindu Balinese temple with a bathing area containing holy spring water for ritual purification."
3,Ubud Palace,Tourist attraction,4.2,9823,"Iconic temple featuring art, Balinese dance performances in its courtyard & lush surrounds.","Jl. Raya Ubud No.8, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571","Tourist attraction 4.2 Jl. Raya Ubud No.8, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571 Iconic temple featuring art, Balinese dance performances in its courtyard & lush surrounds."
4,Sacred Monkey Forest Sanctuary,Nature preserve,4.5,39351,"Hindu temple complex set in the jungle, renowned for the macaque monkeys who call it home.","Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571","Nature preserve 4.5 Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571 Hindu temple complex set in the jungle, renowned for the macaque monkeys who call it home."
5,Ulun Danu Beratan Temple,Hindu temple,4.7,35441,"Scenic Hindu temple on a lake with gardens, boating & wild animals for photo opportunities.","Danau Beratan, Candikuning, Baturiti, Tabanan Regency, Bali 82191","Hindu temple 4.7 Danau Beratan, Candikuning, Baturiti, Tabanan Regency, Bali 82191 Scenic Hindu temple on a lake with gardens, boating & wild animals for photo opportunities."
6,Jatiluwih Rice Terraces,Tourist attraction,4.7,9250,"Scenic area with verdant, undulating rice terraces attracting hikers, cyclists & photographers.","Village, Jl. Jatiluwih Kawan No.Desa, Jatiluwih, Kec. Penebel, Kabupaten Tabanan, Bali 82152","Tourist attraction 4.7 Village, Jl. Jatiluwih Kawan No.Desa, Jatiluwih, Kec. Penebel, Kabupaten Tabanan, Bali 82152 Scenic area with verdant, undulating rice terraces attracting hikers, cyclists & photographers."
7,Tanah Lot,Scenic spot,4.6,83512,"Traditional Balinese temple located on a small, rocky island & offering water vistas.","Beraban, Kediri, Tabanan Regency, Bali 82121","Scenic spot 4.6 Beraban, Kediri, Tabanan Regency, Bali 82121 Traditional Balinese temple located on a small, rocky island & offering water vistas."
8,Tirta Gangga,Tourist attraction,4.6,15982,"Elegant spiritual retreat & gardens surrounded by natural springs, with swimming & picnicking.","HHQQ+836, Jalan Raya Abang Desa Adat Jl. Raya Tirta Gangga, Ababi, Kec. Abang, Kabupaten Karangasem, Bali 80852","Tourist attraction 4.6 HHQQ+836, Jalan Raya Abang Desa Adat Jl. Raya Tirta Gangga, Ababi, Kec. Abang, Kabupaten Karangasem, Bali 80852 Elegant spiritual retreat & gardens surrounded by natural springs, with swimming & picnicking."
9,Main Entrance GWK Cultural Park,Tourist attraction,4.5,10945,"Entrance gate into the Garuda Wisnu Kencana Cultural Park featuring statues, gardens & souvenirs.","Jl. Kw. Garuda Wisnu Kencana, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361","Tourist attraction 4.5 Jl. Kw. Garuda Wisnu Kencana, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361 Entrance gate into the Garuda Wisnu Kencana Cultural Park featuring statues, gardens & souvenirs."
10,Ceking Rice Terrace,Scenic spot,4.4,39081,"Scenic, terraced hillside offering rice paddies amid lush greenery, plus zip lines & jungle swings.","Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561","Scenic spot 4.4 Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561 Scenic, terraced hillside offering rice paddies amid lush greenery, plus zip lines & jungle swings."
